block_id,command,elapsed_seconds,execution_mode,exit_code,expected_repetitions,git_sha,host_arch,phase,repetition,runner_image_os,runner_image_version,runner_label,schema_version,started_at,target_arch,trial_class,workload
33791562096.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-67c3f471-af57-4d2f-8148-21b7476ba049"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33791562096-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",24.919621807,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,build-test,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:24.696369Z,arm64,retained,brotli
33791562096.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,verification,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:50.189117Z,arm64,retained,brotli
33791562096.1,[],0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,attempt,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:04.354339Z,arm64,retained,brotli
33791562096.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.270768132,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,fetch,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:11.574746Z,arm64,retained,brotli
33791562096.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-726ee5fc-167f-4fd9-9ed8-cf2680faf493"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",11.733438983,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,prepare,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:11.962770Z,arm64,retained,brotli
33791562096.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-726ee5fc-167f-4fd9-9ed8-cf2680faf493"",""--platform"",""linux/arm64"",""--target"",""benchmark"",""--build-arg"",""BENCHMARK_ITERATION=33791562096-1-1"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",334.915564362,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,build-test,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:37:23.755696Z,arm64,retained,brotli
33791562096.1,"[""workflow-step-outcomes"",""success"",""success""]",0.0,emulated,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,amd64,verification,1,ubuntu24,20260823.283.1,ubuntu-24.04,2,2026-09-03T18:42:59.754953Z,arm64,retained,brotli
33791565338.1,[],0.0,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,attempt,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:09.237800Z,arm64,retained,brotli
33791565338.1,"[""python3"",""scripts/fetch_fixture.py"",""brotli"",""workloads/brotli""]",0.324904721,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,fetch,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:16.909721Z,arm64,retained,brotli
33791565338.1,"[""docker"",""buildx"",""build"",""--builder"",""builder-9781cb2f-e1b7-46e3-91a7-36e8d59269c8"",""--platform"",""linux/arm64"",""--target"",""prepared"",""--provenance=false"",""--sbom=false"",""--output"",""type=cacheonly"",""--progress"",""plain"",""workloads/brotli""]",10.519630014,native,0,1,b9d8f62d3a874ecc1fcab110476afec6397f63eb,arm64,prepare,1,ubuntu24-arm64,20260831.111.1,ubuntu-24.04-arm,2,2026-09-03T18:37:17.343275Z,arm64,retained,brotli
